Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D_x3.16228|2020.04.14. Tuesday 11:37:36 id:2269|0|2.81918562097354|0|38.930464|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.16228|2020.04.14. Tuesday 11:39:30 id:2269|2.02851105805651|2.81854965249846|0|113.898136|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x3.98107|2020.04.14. Tuesday 11:40:10 id:2269|0|2.81977241055676|0|39.97775|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.98107|2020.04.14. Tuesday 11:42:06 id:2269|2.02851105805651|2.81852067142831|0|115.493475|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x5.01187|2020.04.14. Tuesday 11:42:48 id:2269|0|2.81860414924753|0|41.318616|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x5.01187|2020.04.14. Tuesday 11:44:45 id:2269|2.02851105805651|2.81839227737|0|116.698114|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x6.30957|2020.04.14. Tuesday 11:45:28 id:2269|0|2.81764609080954|0|42.732284|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x6.30957|2020.04.14. Tuesday 11:47:04 id:2269|2.02851105805651|2.819047448031|0|95.225095|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x7.94328|2020.04.14. Tuesday 11:47:42 id:2269|0|2.82018392520324|0|38.112254|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x7.94328|2020.04.14. Tuesday 11:49:16 id:2269|2.02851105805651|2.81921458920945|0|93.664757|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x10|2020.04.14. Tuesday 11:49:56 id:2269|0|2.82033877316899|0|39.359184|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x10|2020.04.14. Tuesday 11:51:30 id:2269|2.02851105805651|2.81884398630243|0|93.630645|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x1.77828|2020.04.14. Tuesday 12:23:36 id:2360|0|NaN|NaN|79.105226|Unknown problem in solver (Turn on 'debug' in sdpsettings) (Out of memory. Type "help memory" for your options.)|Polytopic a. with Finsler (old)
model1_LPV4D_x3.16228|2020.04.14. Tuesday 12:54:21 id:2360|0|2.11778843658819|1791.604402|1843.791753|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x5.62341|2020.04.14. Tuesday 13:26:25 id:2360|0|2.23185778909705|1872.598107|1924.117731|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x17.7828|2020.04.14. Tuesday 14:00:04 id:2360|0|2.50699805713682|1967.854872|2018.379742|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x31.6228|2020.04.14. Tuesday 14:33:29 id:2360|0|2.61180781721747|1954.852156|2005.044479|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x56.2341|2020.04.14. Tuesday 15:08:29 id:2360|0|2.68530090387105|2049.100096|2099.351477|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x177.828|2020.04.14. Tuesday 15:43:02 id:2360|0|2.75467733095872|2022.56126|2072.589895|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x316.228|2020.04.14. Tuesday 16:12:03 id:2360|0|2.76579438514387|1690.686832|1740.99185|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
ipend(1,2,1,10,5;2,0.4,1.2;1)|2020.04.14. Tuesday 16:35:45 id:2265|0.554771842048457|0|0|0|p1 = 0.97355, p2 = 0.92106, p3 = -0.4673|Grid-based worst case LTI Hinf analysis (frozen parameters)
model1_LPV4D_x562.341|2020.04.14. Tuesday 16:47:32 id:2360|0|2.77425576002343|2077.684696|2127.982204|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x1000|2020.04.14. Tuesday 17:19:53 id:2360|0|2.77458783128181|1889.502235|1940.598956|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x1.7783|2020.04.14. Tuesday 18:38:56 id:2266|0|2.05119698597003|1755.52742|1825.194072|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D_x10|2020.04.14. Tuesday 19:32:40 id:2268|0|2.37512072120997|669.58379|723.475709|Successfully solved (MOSEK)|minlfr + Polytopic a. with Finsler
model1_LPV4D_x10|2020.04.14. Tuesday 19:56:57 id:2270|0|NaN|NaN|264.726758|Unknown problem in solver (Turn on 'debug' in sdpsettings) (Reference to non-existent field 'sol'.)|minlfr + Polytopic a. with Finsler (old)
